,content
0,"Today is ‘Random Act of Kindness Day’.

Sports mentor Aimee presented Liz from Jigsaw NI with a bouquet of flowers as we facilitated her group of elderly on our active ageing programme.

Thank you for everything you do Liz. Keep up the good work.

#RandomActsofKindnessDay https://t.co/nsQhQHlH32"
1,"Active Ageing is a free 12 week programme designed to help with the prevention of falls for those aged 65 and over.

It includes a range of exercises aimed at focusing on improving strength and balance in order to help reduce the risk of a fall occurring.

https://t.co/7RVRIzL39e https://t.co/2kBJbjntBa"
2,"Active Ageing is a free 12 week programme designed to help with the prevention of falls for those aged 65 and over.

It includes a range of exercises aimed at focusing on improving strength and balance in order to help reduce the risk of a fall occurring.

https://t.co/mJG8gDZLCa https://t.co/FwzHPtf2cu"
3,"Active Ageing is a free 12 week programme designed to help with the prevention of falls for those aged 65 and over.

It includes a range of exercises aimed at focusing on improving strength and balance in order to help reduce the risk of a fall occurring.

https://t.co/hapHx78mTT https://t.co/AIAxdFHJhf"
4,"#CTS Vol. 35 Núm. 1 (2022) 
📌Promoting mental fitness in the context of active ageing policies: Comparative analysis of action programme objectives in eight countries por Romo Parra, García-Martín, Vera Balanza y Delgado Peña

▶️https://t.co/AWbLeoc2NG https://t.co/tfZQMuA7ep"
5,"With the support of @TNLComFund  our charity has successfully launched an Active Ageing sports programme.

The programme uses walking football, cricket and netball to support London residents over 50.

To find out how you can get involved, email office@changefdn.org.uk 📧 https://t.co/h4MOerig0n"
6,"This week alone we have worked with:
- 548 p7 pupils across 12 primary schools delivering our Honour Roll programme
- 63 young people aged 14-18 participating in 4 of our eHoops personal development programme
- 93 aged 50+ taking part in our active ageing 'Live Long' programme https://t.co/e3XpDLMLfT"
7,#LoveToPedal 🚴 SASP’s Active Ageing Manager is supporting the Occupational Therapy Department &amp; the Eliot Ward at #MusgrovePark who will be using the #LoveToPedal seated #cycling programme to keep patients active during their stay! https://t.co/KQgfRUZd5Y #BeActive #Somerset https://t.co/0hn974S4X7
8,"Active Ageing is a free 12 week programme designed to help with the prevention of falls for those aged 65 and over.

It includes a range of exercises aimed at focusing on improving strength and balance in order to help reduce the risk of a fall occurring

https://t.co/RIrewIGza5 https://t.co/GTmZbWnYMp"
9,"Active Ageing is a free 12 week programme designed to help with the prevention of falls for those aged 65 and over.

It includes a range of exercises aimed at focusing on improving strength and balance in order to help reduce the risk of a fall occurring

https://t.co/eLePb17wkF https://t.co/PhXDhSwzfp"
10,"🔊 Active Ageing Hour! Get active at 11am on the Thursday 16th December: https://t.co/gDHEC2O5FF

The programme aims to provide a safe environment with dedicated hours for older adults to exercise in the local community, leisure centre or gym.

@irelandactive #activeageing https://t.co/Eqy5zgEO2t"
11,"Do you have an older family member who would benefit from our Active Ageing strength &amp; balance programme? 

For more information please call 0151 934 2352
or email Active.Ageing@sefton.gov.uk https://t.co/5bme1xGIYq"
12,"Do you have an older family member who would benefit from our Active Ageing strength &amp; balance programme? 

For more information please call 0151 934 2352
or email Active.Ageing@sefton.gov.uk https://t.co/df1W8Ggbpa"
13,"🔊 Active Ageing Hour! Get active at 11am on the Thursday 16th December: https://t.co/gDHEC2O5FF

The programme aims to provide a safe environment with dedicated hours for older adults to exercise in the local community, leisure centre or gym.

@irelandactive #activeageing https://t.co/Ky40GTyZuA"
14,"🔊 Active Ageing Hour! Get active at 11am on the Thursday 16th December: https://t.co/gDHEC35H4f
The programme aims to provide a safe environment with dedicated hours for older adults to exercise in the local community, leisure centre or gym.

@irelandactive #activeageing https://t.co/UbFbFZjAOi"
15,"“Each year, about 3 million older adults are treated in Hospital for a fall injury 1 out of every 5 falls causes an injury"" 

Do you have an older family member who would benefit from our Active Ageing strength &amp; balance programme? 

For more information please call 0151 934 2352 https://t.co/RclWJhpgTf"
16,"“Each year, about 3 million older adults are treated in Hospital for a fall injury 1 out of every 5 falls causes an injury"" 

Do you have an older family member who would benefit from our Active Ageing strength &amp; balance programme? 

For more information please call 0151 934 2352 https://t.co/JKFGhwKeso"
17,"“Each year, about 3 million older adults are treated in Hospital for a fall injury 1 out of every 5 falls causes an injury"" 

Do you have an older family member who would benefit from our Active Ageing strength &amp; balance programme? 

For more information please call 0151 934 2352 https://t.co/DBCrS2IaEc"
18,"Do you have an older family member who would benefit from our Active Ageing strength &amp; balance programme? 

For information please call 0151 934 2352
or email Active.Ageing@sefton.gov.uk

@LWSefton @BrighterL @mayloganonward 

#MySefton #Strength #Balance https://t.co/sJLPvTxcLF"
