,content
0,The Care and Repair service is run by @ageaction and is a great way of helping older people in their homes. Please spread the word!  https://t.co/zD9GNuSqwG
1,"Last chance to register for the  Assisted Decision Making module starting March 1st and Collected Conversations with Valerie 
Cox starting March 3rd https://t.co/YGIFaBBoBb @DCU @AgeAction @AgeFriendlyIrl @seniorsparl @activeirl @AgeFingal @DubLearningCity"
2,"The question of luck and the role of personal power is at the centre of the book Age Proof by @RoseAnnekenny1 #ageproof @TCDGerontology @tcddublin @irishgerontsoc @AgeAction 
https://t.co/SrYMMMmMLB"
3,@MigrantRightsIr @icos @SIPTU @IrishRefugeeCo @flacireland @PaveePoint @immigrationIRL @LeCheileDND @Black_andirish @LmaRirl @MigrantRightsIr @NascIreland @ICCLtweet @AgeAction @FingalTogether @STAD_Ireland @itmtrav @UpliftIRL @TREOIR @sariireland @NWCI @SligoTraveller Pls share!
4,"Thanks to all for a great launch of the “Stirring Memories – Stories of Yesterday” exhibition yesterday in @dlrLexIcon 😊

See more about the exhibition &amp; what's involved at: https://t.co/feQeWU2R8n

#dlrCommunity #StirringMemories @AgeFriendlyIrl @AgeAction @connections_ie https://t.co/n90S5nUmVC"
5,"'there is a need to move expeditiously towards developing and adopting a coherent, comprehensive
and integrated human rights framework on older persons,..' 
Significant report released by @UNHumanRights 
https://t.co/EuDuUU3VoL

#AgeEquality
#RightsMatter"
6,A place to grow old where you're 'never short of company'  (via @thejournal_ie) https://t.co/PZG7RsdoJL @judesherry @frank_oconnor As part of this age grp I think this is ideal; some of the buildings u show as being derelict cd so easily be redeveloped. @AgeAction @PMVTrust @
7,"Wonderful morning in the church, our active over 55s were in for a bit of dance, light exercise and a cuppa but got an additional poetry reading by @StJohnsTheatre @marthawoodcock1 from her first poetry collection. @KerryCoArts @artscouncil_ie @AgeAction @Listowel_ie https://t.co/FqLUL0D5bE"
8,"Digital First should not mean digital only.

The requirement for a public services card in addition to closing walk in services is a mistake that will disproportionately impact on older people.

@RSAIreland #DigitalInclusion #AgeEquality https://t.co/NemzCaUg6A https://t.co/JKPdfnYzMt"
9,"86,000 people over the age of 75 on acute hospital waiting lists. Now what?

https://t.co/agcZXLnTdj via @TommyMeskill 
#AgeEquality
#RighttoHealth"
10,"People want to age in place - homecare is central to achieving this goal. 
How do we ensure that older people get the care they need where and when they need it?
#AgeEquality
#AgeingInPlace
#RighttoHealth https://t.co/HWTuJyTQPN"
