,content
0,@_HiDigital Wishing you all the success andi :)
1,"Thank You @sairazesh Garu @vennelakishore Kaka For Supporting  Our Movie 🥰🤗

https://t.co/IVOjy72cAJ

#TelisinavaalluGlimpse #SyringeCinema #RamKarthik #HebhaPatel https://t.co/55CfsRwMYp"
2,"The first glimpse of #Telisinavaallu, ⭐ing @iramkarthik, @IamHebahPatel, directed by @Viplove_species is out. Here's what we feel about it!

#KSV  @ItsActorNaresh @SricharanPakala @jk_dr @LokeshPavithra @VrMadhuPr @_HiDigital #TelisinavaalluGlimpse

https://t.co/FTGtIz2TqM"
3,"Get Ready to fall in love 👫

#TelisinavaalluGlimpse Out Now 
▶️ : https://t.co/NLjHbd94S4

#KSV @iramkarthik @IamHebahPatel
 @Viplove_species @ItsActorNaresh @SricharanPakala
 @jk_dr @LokeshPavithra @VrMadhuPr 
@_HiDigital https://t.co/ktLrkrv9YU"
4,Just under 80% of older people admitted that technology enhanced their ability to stay in touch with loved ones. Read more about the Hi Digital programme here https://t.co/4vsxoexUuF #HiDigital #TogetherWeCan https://t.co/7ZgTQz1cPb
5,"Lets Dive into the Strange world of #RamKarthik &amp; #HebahPatel 🕺🏻💃🏻❤️

#TelisinavaalluGlimpse Will be unveiled Tomorrow at 11:07 AM ! 🤩

#KSV @iramkarthik @IamHebahPatel
 @Viplove_species @ItsActorNaresh @SricharanPakala
 @jk_dr @LokeshPavithra @VrMadhuPr 
@_HiDigital https://t.co/f3XgBOTuCA"
6,"Lets Dive into the Strange world of #RamKarthik &amp; #HebahPatel 🕺🏻💃🏻❤️

#TelisinavaalluGlimpse Will be unveiled Tomorrow at 11:07 AM ! 🤩

#KSV @iramkarthik @IamHebahPatel
 @Viplove_species @ItsActorNaresh @SricharanPakala
 @jk_dr @LokeshPavithra @VrMadhuPr 
@_HiDigital https://t.co/WDEf9NHU4k"
7,Proud to be a part of this important programme and partnership that aims to bridge the worsening digital divide felt by many older people in Ireland by empowering them to build their skills and confidence using the internet and computers in their daily lives. #HiDigital https://t.co/dL7d8bpfZx
8,"Research by #VodafoneIrelandFoundation has found that two thirds of over 75s believe the pandemic has given them a better understanding of the importance of technology. 💻

The #HiDigital programme supports older people and builds their confidence online: https://t.co/JY0T4F8XrZ https://t.co/5tmFdZHQ3P"
9,61% of older people say that improved digital skills would have a positive impact on their lives with 74% of those aged between 65-75 being most nervous about signing up or paying for something by mistake. Read about Hi Digital https://t.co/4vsxoexUuF #HiDigital #TogetherWeCan https://t.co/Ftcy9HczZJ
10,Hi Digital is producing real impact on the daily lives of older people as new research demonstrates the positive role that technology can play. More detail on the Hi Digital programme can be found here https://t.co/4vsxoePvTf #HiDigital #TogetherWeCan https://t.co/WXJAVAFaiT
11,"@_HiDigital @sampoornesh ఈ రోజు మొక్కగా ఉన్న ఈ చిన్న ప్రాణికి డబ్బు అనే నీరు పోసి ప్రాణదానం చేశారు..
Thanks #sampoornesh అన్న."
12,"Actor @sampoornesh Garu contributes Rs 25000 to aid the heart surgery of a 2-month old baby from RamannaPet village, Vemulawada. He met with the child's family today and handed over the cheque. https://t.co/STW1I57B0k"
13,"ThankYou For Overwhelming Responce🤩  #Darja Motion Poster Hits 1️⃣ Million+Digital views 

▶️: https://t.co/RD43jTsOXO

@Mee_Sunil @anusuyakhasba
#SivaSankarPaidipati Under PSSEntertainments 
#RaviPaidipati #SaleemMalik 
#RapRockShakeel #Darshan #MRVarma @veerababupro @_HiDigital https://t.co/7qaRfPC0UI"
14,@_HiDigital @Mee_Sunil @anusuyakhasba @veerababupro @Anasuyakhasba hi bro can you please message me
15,@tyrion_jon @Manojkumar_099 @Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Chokli fans ni eskoni vastadu anta
16,@ThisisShaik_ @Hitman4Lyf @Manojkumar_099 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Ante miru miru https://t.co/xTO8a1GAS1
17,@ThisisShaik_ @Manojkumar_099 @Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital 🤣🤣🤣
18,@ELEGANCE_45 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Antha sampadinchav ra inthaki
19,@ThisisShaik_ @Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital https://t.co/aLz9vu5Qsu
20,@Hitman4Lyf @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital 🤣🤣🤣🤣😂😂
21,@ThisisShaik_ @Manojkumar_099 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital 🤣🤣
22,@Manojkumar_099 @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Hotel lo platelu dengkeltaru choklis oddule anna 😭
23,@Manojkumar_099 @Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Ayithe restaurant rakunda road pina adukkutinandi collection baga vastundi chokli fans unte
24,@Hitman4Lyf @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Endi vro antha mata antav 😂 ma side 500 mandi chokli fans ni teskoni vasta
25,@Manojkumar_099 @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Intaki nuv vastava
26,@ThisisShaik_ @Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Adi atta 💥
27,@ThisisShaik_ @Manojkumar_099 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Ok mawa
28,@Hitman4Lyf @Manojkumar_099 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Ha pakka ravali
29,@ThisisShaik_ @Manojkumar_099 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Lekapothe chepta mawa
30,@Manojkumar_099 @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Sare https://t.co/bJEY8HrHE8
31,@Hitman4Lyf @Manojkumar_099 @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Nenu vasta mawa pick cheskunta
32,@Hitman4Lyf @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Vachey max https://t.co/MvEfdrZ6qv
33,@Manojkumar_099 @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Max vasta. Bandi lekapothe ranu
34,@Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital @Manojkumar_099 Okay morning call sesta
35,@Hitman4Lyf @ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Vastunav ga mari 😒
36,@ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital @Manojkumar_099 Ha voke 🤘
37,@Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Yems 1ki mangalam @Manojkumar_099 kuda vastadu possible ayithe vacheyi
38,@ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Afternoon ah
39,@Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Repu Arabic restaurant anta podama free unte
40,@ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital K s lo earning telsule
41,@Hitman4Lyf @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Bokka la recharge ki saripovu avi api bemguta 😂🤣
42,@ThisisShaik_ @anusuyakhasba @Mee_Sunil @veerababupro @_HiDigital Okkadive sampadinchu baga
43,"She is fierce &amp; She is intense 🗡️🔥

Presenting @anusuyakhasba As #Kanakam from #Darja into the World!

https://t.co/rmN6zzZQWh

@Mee_Sunil #SivaSankarPaidipati Under PSSEntertainments 
#RaviPaidipati #SaleemMalik #RapRockShakeel #Darshan
#MRVarma @veerubasimsetty @_HiDigital https://t.co/kL9nZuNV8o"
44,"She is fierce &amp; She is intense 🗡️🔥 @anusuyakhasba As #Kanakam 

Launched by #KLNarayana 

@Mee_Sunil #SivaSankarPaidipati Under PSSEntertainments 
#RaviPaidipati #SaleemMalik #RapRockShakeel #Darshan
#MRVarma @veerababupro @_HiDigital https://t.co/HU8F0W67GM"
45,"She is fierce &amp; She is intense 🗡️🔥
Presenting @anusuyakhasba As #Kanakam into the World!

Launched by #KLNarayana Garu 

@Mee_Sunil #SivaSankarPaidipati Under PSSEntertainments 
#RaviPaidipati #SaleemMalik #RapRockShakeel #Darshan
#MRVarma @veerababupro @_HiDigital https://t.co/hgtwzADW0M"
46,"Here's the most Intriguing Suspence Thiller #BehindSomeOne Teaser Out Now ￼ : https://t.co/VTB3SP4X8d Alert Soon ￼ To Catch the Killer ￼ 
@SunilCoinEarth
@ajay_nali
@BeingRajSuriyan
@NivikshaNaidu
#Ajay #RaviBabu #Suman #VijayKuravkulla 
@LaxmiNivas45
@_HiDigital https://t.co/zMzsBI71Tv"
47,"Unveiling the first look &amp; Motion Poster Of @anusuyakhasba 's From #Darjja tomorrow at 10:30 AM 

⭐ing @Mee_Sunil
💰: #SivaSankarPaidipati Under PSSEntertainments 
@veerababupro https://t.co/BuiLgIu82q"
48,@_HiDigital @PrimeVideoIN @AbhinavSardhar @IamChandini_12 @actorshaani @Bheems1 @agarwal_sherry @SheebaSrinidhi ALl the best heroine.
49,".@RRRMovie -@PushpaMovie ft @sampoornesh 👌🏻🤩😂

#SampoorneshBabu @tipsofficial @LaxmiNivas45 #ThaggedheLe @SKNonline https://t.co/3WTl6vgAXU"
50,"Mass Song Of the Season 🤩💥🕺🏻 #ThopuThopu Lyrical Song From #DhagadSamba Out Now 

▶️ https://t.co/jvcYfBNFFo

🌟ing : @sampoornesh , #Sonakshi 
💰 : #RR Under @tipsofficial  , PraveenaCreations 
🎬 : #NRReddy
🎥 : #MujeerMalik
🎼 : #DavidG
📣 : @LaxmiNivas45"
51,@Adithya2301 @SunilCoinEarth @ajay_nali @BeingRajSuriyan @NivikshaNaidu @LaxmiNivas45 @_HiDigital Br🥲
52,"@Arunpb05 @SunilCoinEarth @ajay_nali @BeingRajSuriyan @NivikshaNaidu @LaxmiNivas45 @_HiDigital Eee paid groups lallo, mem kuda paisal sampadinchukuntam 🤌"
