,content
144,"To all people passionate about #AdultLearning and #lifelonglearning!

Great opportunity to work with @aontas! 👇🏾 https://t.co/lpoOS4q3gb"
161,"Want to join a team that really makes a difference to #AdultLearning and #LifelongLearning in Ireland and across Europe? #AONTAS is hiring!💫 

The closing date for applications is fast approaching. Click here for more information: https://t.co/hXU2kTVnsk #JobFairy https://t.co/LmBtIFIo5y"
164,Great to meet with @convene_ie Community of Practice yesterday and discus all things #microcredentials Significant synergies across the HCI projects #innovation #highereducation #lifelonglearning @HEA @DeptofFHed https://t.co/BRYRi9KS21
191,There's a ton of expertise at this event being held by @KeeganCoaching — Not to be missed by any aspiring coach. #lifelonglearning https://t.co/paBcN8Yxmw
231,"Interested in hosting festival event? 

#LLLFestival2022 will take place between 23rd and 29th May. 

So join us this year!
Register at 
https://t.co/N83hKVpT3F  

#getinvolved #lovelearning #lifelonglearning #learningcommunities #learningcities #unesco  #learnsomethingnewin2022 https://t.co/A0cCLNyV1i"
276,@FingalSports @SkerriesTownFC @KeoghPaul @jamiewilson1978 @SeanMoore2897 PDP2 theory tonight with Coaches from Fingal great  engagement from all involved #lifelonglearning https://t.co/LaG6cZtEjJ
332,"Learn something new in 2022! 

You can #getinvolved and host an event for the festival. Submit your ideas for events by March 11th at https://t.co/N83hKV8ic7.  

#unesco #learningcites #lifelonglearning #learningcommunities #limerickfestival #limerickedgeembrace #LLLFestival2022 https://t.co/uwABMVPaqc"
427,"Join us for a coffee morning and make connections for your events for the Lifelong Learning Festival 2022!
 
Please register on Eventbrite https://t.co/YASWvegfex 

#getinvolved #lovelearning #lifelonglearning #learningcommunities #learningcities #unesco #LLLFestival2022 https://t.co/qRSGcNKmwB"
460,@JohnMDArcy @aontas The vision board says it all...lots of work with done Dr O Reilly at the helm advocating for adult learners!Thank you Aontas #lifelonglearning
518,Last week Eileen Duggan and I got to have a conversation about the upcoming  @SmurfitExecEd   Diploma in Business &amp; Executive Coaching starting in March 2022 https://t.co/3tx5ILV7xl via @YouTube #coaching #executivecoaching #smurfitschool #lifelonglearning @EMCCglobal
692,Exciting new #microcredential on International Law and Justice from  @MaynoothLaw #MicrocredsIE #lifelonglearning #highereducation https://t.co/oWYAOqtRbY
797,"Do you have an idea for festival event?

The LLL Festival is taking place between 23rd and 29th May 2022. 

Why not get involved? 

Register at https://t.co/N83hKV8ic7 

#getinvolved #lovelearning #lifelonglearning #learningcommunities #LLLFestival2022 #learnsomethingnewin2022 https://t.co/B2svAoQnew"
806,@SimonHarrisTD on the importance of the right skills and knowledge for #ESD at this morning’s National Forum on ESD #upskilling #lifelonglearning #highereducation https://t.co/hkYZTUJoiR
819,Many thanks to @CDETBAdultEd for inviting us to participate in their #disabilityawarenessweek2022 and to those who attended our Understanding dyslexia webinar #adulteducation #FET #dyslexia #lifelonglearning https://t.co/VLPK9daDOl
889,"🇪🇺  What are the new #frontiers of #adultLearning? How can we #improve #lifelongLearning and #employability?

🔎  Discover #EPALEThematicFocuses  👉🏽 https://t.co/5hPqTFux9C

#learning #education #innovation #skills #upskilling @Leargas https://t.co/AUAKYPivwQ"
915,"Micro-credentials at @tcddublin are an innovative way for professionals to engage with #lifelonglearning and achieve career advancement. Register your interest for more information: https://t.co/WCNg7vhQB1

#MicroCredsIE #TCDMicroCreds #ThinkTrinity https://t.co/YKWtbIxAN3"
920,"Did you know you can book a virtual visit to the #EuropeanParliament? Immerse yourself in the atmosphere of the world’s largest transnational parliament and discover its powers &amp; role 👉https://t.co/AzNC2I82xl
#education #learning #lifelonglearning #democracy #representation https://t.co/eX6KViKDWc"
932,Join the mighty team @UL information session today if you are interested in fast tracking your skills in Business and Management through #microcredentials @GPS_UL #MicroCredsIE #upskilling #lifelonglearning #highereducation https://t.co/L9QYMZ38pb
1030,Solid advice from @MTUBusAcademy. Learning never goes out of style! #lifelonglearning #professionaldevelopment #treatyourself #nevertoolate https://t.co/rp1Z4xjahq
1059,Looking forward to to chatting to our colleague Eileen Duggan on Wednesday about the upcoming Diploma in Business and Executive Coaching. #coaching #listeningskills #lifelonglearning https://t.co/rsgQBSLIya
1102,What's holding you back?We grow when we open ourselves up to learning or improving knowledge #LearnYourWay to fulfilment check this out #lifelonglearning https://t.co/50CDVjL5Lc
1123,World age record for a 45 year old woman I know Sorcha Loughnane 👏👏👏 I have people ask or say they're too old to do so many things in life. Age restrictions are self imposed - do what you want or desire at any age. You're only old when you believe you are. #lifelonglearning https://t.co/sMdkA9lejx
1247,Government will deliver High-Level Digital skills through the further development of #microcredentials Great to see the strong commitments in Harnessing Digital @MichealMartinTD @LeoVaradkar #MicroCredsIE #digital #lifelonglearning https://t.co/nKg3A98HKp
1346,"Interested in hosting festival event?

The LLL Festival is taking place between 23rd and 29th May 2022.

You can now register at https://t.co/N83hKV8ic7 

#getinvolved #lifelonglearning #learningcommunities #learningcities #unesco #LLLFestival2022 #learnsomethingnewin2022 https://t.co/xsJ24EZE4j"
1416,@WeAreTUDublin President David Fitzpatrick highlights HCI funded @IUAMicroCreds in the importance of universities reframing skills and university learning @IUAofficial #microcredentials #lifelonglearning #innovation https://t.co/o04wI3CUBX
1432,Welcome to @TUS_ie Nicola &amp; great to meet the @THEA_Irl team for #RPL in real life! National direction &amp; coordination w institutional leads critical for rolling out #RPL #LifelongLearning in Irish HE...to all of our benefit &amp; creates vital sectoral networks! #YourLearningCounts https://t.co/5tbVOEqzVm
1511,"The LLL Festival Organising Committee had a busy planning meeting last week.  You can submit your event to be included in the festival now!

➡️https://t.co/N83hKVpT3F 

#lifelonglearning #learnsomethingnewin2022 #getinvolved #lovelearning #learningcities #unesco #LLLFestival2022 https://t.co/LTJI0oDX3r"
1615,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday #learnsomethingnewin2022 https://t.co/4cAuAftgL1
1622,Looking forward to day 2 of #TEL Technology Enhanced Learning with @an_cosan #CPD #Lifelonglearning
1670,Read about the Limerick Lifelong Learning Festival 2022 now open for event submissions #getinvolved #lifelonglearning #learningcities #learnsomethingnewin2022 #lovelearning #lovelimerick https://t.co/r7NekrQyGe
1766,"📢#AONTAS is hiring! Come join our team! Click the link to find out about two exciting new roles at Ireland's national adult learning organisation: 
https://t.co/hXU2kTVnsk 
#JobFairy #LifelongLearning https://t.co/ZqR0JWxfN2"
1795,Thanks for a great event for the launch of @MTUBusAcademy. Well done to Pat Culhane and all the speakers. #lifelonglearning @MTU_ie #professionaldevelopment #wearecork #mtubusinessacademy https://t.co/mQ6YPEefT7
1809,"New ideas in #AdultLearning from across Europe: the #BildungALE project explores the holistic concept of ‘Bildung’, which empowers people to integrate #LifelongLearning into their lives🌏 Read more about Bildung👉 https://t.co/LBeQxip9Zw  #ErasmusPlus https://t.co/s5LcYumwD0"
1912,"🚨Once-off opportunity for a Mental Health Grant (up to €30k) @MentalHealthIrl, for community and voluntary agencies. Deadline for applications is 28th February 2022. Take a look at the FAQs for more details👉 https://t.co/jK4qrOng19 
#CommunityEd #LifelongLearning https://t.co/k0nIv33lNa"
1922,"🚨Calling all #CommunityEducation providers: If you applied for the 2nd round of the #MAED Fund, please complete this short survey to help our advocacy work and improve future funding calls 👇https://t.co/e4uBuWN2dT #LifelongLearning https://t.co/QsQSlPP8Eq"
1923,Interesting read on European developments in #Microcredentials from @ElenaCirlan1 &amp; @maria_kelo @IUAMicroCreds @euatweets  #lifelonglearning #highereducation #inclusion https://t.co/3QT1w5zVli
1925,"Self-complacency is fatal to progress. Margaret Sangster

 #selfimprovement #empowerment #progress #lifelonglearning https://t.co/FizcJDjEaP"
1931,Prioritise attending @aheadireland ‘Safe Haven or Stormy Port’ online conference this March. Engaged research impacting inclusion in learning including work based learning #Ahead2022 @hea @IUA_EDI @IUA_Academic #lifelonglearning #inclusion #highereducation https://t.co/78yWqFnPXb
1966,Great discussion with @RPL_Irl Ambition. Working together to enhance learner opportunities and enterprise collaboration #highereducation #lifelonglearning @IUAofficial @THEA_Irl https://t.co/ft58lqAROh
1970,"@IUAMicroCreds had the opportunity today to speak about our work with colleagues from the @RPL_Irl Ambition Network.
Engaging meeting with great representation across the Irish HE landscape. 
Thanks for the invite @GraceEdge &amp; @EavanOBrien!
#MicroCredsIE #HCI #lifelonglearning https://t.co/yDk1gRLz1P"
1988,"🗣️""#LifelongLearning is as natural and as necessary as breathing"" - Rosemary Moreland of @UlsterUni on the value of #AdultLearning at the launch of the latest Adult Learner Journal. The launch also featured tips from Prof De Pryck @VUBrussel. Read more👇 
https://t.co/koHtlDCoYJ https://t.co/C6GNxKGMjW"
2003,1/ #AONTAS welcomes the inclusion of #LifelongLearning and #CommunityEducation in this new #HarnessingDigital framework for tackling the digital divide. AONTAS contributed to its development - great to see targets and access to laptops and WIFI hotspots in communities @DeptofFHed https://t.co/WpJ8dsxtGw
2014,"The Mayor of Limerick @DanielButlerFG speaking about the #IrishNetwork of #LearningCities, the LLL Festival &amp; the resilience of our local communities in celebration of Irish Learning Cities day held in September. 

 #learningcommunities #unesco #lifelonglearning https://t.co/RE521zALzD"
2095,"📢 Upcoming new webinar on EU education tools to support #AdultEducation and #Lifelonglearning👇 The webinar takes place this Thursday at 9am Irish time. Register here: 
https://t.co/Nv1QV8bma9 #RegALE https://t.co/auU2YznISj"
2117,"Last chance. Calling all writers! WRITING FICTION (2) starts tomorrow, Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/DdxXfVR9e6; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/SdPeE4hzeZ"
2120,"Interested in hosting LLL Festival event this year? 

We are now accepting submissions from event organisers at https://t.co/N83hKV8ic7

#getinvolved #lovelearning #lifelonglearning #learningcommunities #learningcities #unesco #LLLFestival2022 #learnsomethingnewin2022 https://t.co/p0nyHa1w6Q"
2126,Our first @FAICoachEd UEFA B Licence of 2022 is under way. Looking forward to some great presentations and guest speakers. #lifelonglearning https://t.co/SMCYnrrgFF
2134,"Writing Fiction (ii) starts on Zoom tomorrow, Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PRrc5w ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/yY1aNwp9zD"
2136,Looking forward to hearing @IUAMicroCreds Enterprise Advisory Group member @MeadhbhCostello from @ibec_irl discussing 'Supporting Graduate Employability and Lifelong Learning for the Future of Work' @TUDublin_LTTC  Talking Policy 2022 this morning! #lifelonglearning #policy https://t.co/NwqrcmbxtB
2137,So excited to have our @LVADublinPubs students in the LVA Anglesea House today. Food by @twosisters6w. Mary &amp; Sandra taking great care of them. Marketing with @marcthornton27 &amp; menu design with Blathnaid Bergin. #lifelonglearning https://t.co/8wDymby1zI
2216,Calling all writers! WRITING FICTION (2) starts Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/DdxXfVR9e6; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/aLYGhr1nIc
2221,Writing Fiction (ii) starts on Zoom Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/z8WxmRq3Tt
2238,#getinvolved #lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/2QTDjSKYs9
2382,Looking for the perfect start to celebrate spring? How about a comprehensive  course in #WritingFiction beginning Wed 2 February for 8 weeks. Further info and booking: https://t.co/VjiIuak9qP… ; phone: 01 7167123  #lifelonglearning  #irishfiction https://t.co/SyTV2pqoIc
2406,"If you believe, you can achieve! 
#lifelonglearning 
#passion 
#motivation 
#empower 
#creatingingcareersinretail 
#retaildegree 
#apprenticeshipinretailsupervision 
#goals2022
@SkillnetIreland @Retail_Irl https://t.co/qIy8di7dw5"
