,content
29,"Sisters, aged 9 and 11, plead to UK PM to save environment from Sixewell C nuclear project https://t.co/2h99Ha0EDy"
311,@rocks_gary @cjdonnelly72 @U2Partygirl5 Great memories. My first U2 gig was Croker in 1987 aged 15. Think we’re all about that vintage!
397,"@arseblagger @Dazwint @Arsenal18862006 Bobby Gould, only joking, but before my time many would say Joe Baker, he never won anything with us but scored shit load of goals, oddly was sold to Forest aged 26
there has to be lots of legends from the barren years of the 50's &amp; 60's, maybe SuperMac in the 70's he won nothing"
560,@PatLeahyIT Aged like milk
1245,@DecPierce This aged well
1794,This aged well. I see he hasn't tweeted since Dec 20th...😶 https://t.co/lc7RiGQlS6
1884,"@liz_mogan @kfurlong45 @AdrianWhelan16 @Runjimbob5 @RaggamuffinThe @timosullivan81 @gumpy77 @claudia_obrien @Keithm74623180 @AmandaFOates @DecPierce @ThePhoneMonkey3 @NiamhOn121 @carrolj_john @Flanaganpubfood @davyhirl @MattdaTrucker @AFC_legend1 @ElectroRemedy @davidgoddard77 Love that tune, never aged🙌🙌🎶💃"
2588,"Talk Radio ★★★½
""There's nothing more boring than people who love you.""
#OliverStone's claustrophobic bottle drama is an example of a film that unfortunately has aged too well. @ericbogosian (who co-wrote the original play) plays a acerbic shock-jock who gets his comeuppance. https://t.co/rwgwOEYZ77"
2790,"@ConnieKuu yeah, totally play with a guide. some stuff is so mystifying, I honestly dont know how you would do it without one and generally, its mechanics haven't aged too well"
2939,MF Doom: masked hip-hop star dies aged 49 https://t.co/fuVrs9xF4N https://t.co/eO9CwT6dJF
3117,Coronation Street's Mark Eden passes away peacefully aged 92 https://t.co/qW1NPBG23W via @DailyMailCeleb
3136,Very impressed with this barrel aged Caber... Wine from Alturis via @Vivino app: https://t.co/MEVxhO8Bbm
3148,Mario Andretti’s twin brother Aldo dies aged 80 https://t.co/MqThDJyUbe
3266,"@SineadQuinlan_ (Ahem , )when I was younger and no internet , a prospective girl asked for me to send a picture of myself while talking to her on the phone. I told her I only had an older photo . I sent her a picture of me aged 1 . It was a nude photo . Never heard from her again ......"
3566,"Yet full time private facilities that have the same aged children are expected to open, how are they safer than ECCE settings and schools? 🤔 #Equality #COVID19 https://t.co/eQaN5vLMVK"
3588,"@FergalBowers @rtenews The children I work with are aged 3-5, in a full time facility. Yet somehow it's safe for us and them even though their own scheme is closed until 11th Jan, how does that make sense? 🤔"
3686,@_gary_duffy_ I’m still stuck on the Beth Harmon aged 9 bot on https://t.co/TZJcmSd5ri lad
3844,I know I’m watching this 20 years later but the 9/11 episode of the west wing is extremely awkward and has aged...terribly.
4034,Well this aged well didn’t it 🥴 https://t.co/VfKk24EoK2
4245,@DiscoverIreland Oh I love that walk! We went there for the first time during the summer. Walked our aged Benjie the whole way to the top!
4299,Coronation Street actor Mark Eden dies aged 92 https://t.co/4Nsl5Gcb2b https://t.co/g0pAjH2tRn
4321,The flu vaccine is free for those aged 2-17 years old. It is given as a nasal spray and is safe and effective.  Find out more about the children's flu vaccine here: https://t.co/grZttoIkkH #YourBestShot https://t.co/q2UEKIR6cE
4556,@EubanksRoburt @SamanthaLibreri @rtenews Ah stop that nonsense. Heart or kidney problems usually are not the reason person dies aged 40-60. Ppl can enjoy quality life with many health problems however covid on the top kills them fast.
4635,@TheChilwellEra @_Hazpilicueta This aged well
4725,"Coronation Street actor Mark Eden dies aged 92

https://t.co/NPiOjUkPI3 https://t.co/Qdhv1dwoql"
4790,This aged astronomically https://t.co/pjzqJ9BJVm
4928,"Both home owners, a man and woman aged in their late 80s and early 90s, were uninjured during the incident but were treated for shock. https://t.co/39guAIeoRF"
5210,Today in 2006  Philip Hogarty (aged 19) becomes the first road death on Irish roads in 2008 after being struck by a Garda patrol car in Tallaght. Philip was chairman of the Irish Chess Union https://t.co/hevE1bfz1i
5585,Rapper MF Doom dies aged 49 https://t.co/9XgvkY475a
5688,"@gettagripfolks @yrhenwrach @cathwrites @treekahlo Didn't realise he was on TV this morning.

We're in the middle of a public health disaster, and people are contacting the BBC about a middle aged fetishist's pronouns.  https://t.co/zWGaKSyabs"
5749,"Rapper MF Doom dies aged 49

https://t.co/XLP6ZaK9BD https://t.co/NWUF2t25kE"
6767,"Former Manchester United and Scotland manager Tommy Docherty dies aged 92
https://t.co/7bSSWgs14c https://t.co/vEPQ6SnMsw"
8846,@4everBrandy @NYRE Wow loving your music since the early 90’s and you LEGIT not aged a day!
9700,"@_wbzaNw_ @DanSymboliC Yeah I agree, but what he said was also poorly aged."
10210,"@vantetum @koostum HAPPY BIRTHDAY MONTH TWINNIES, TO CELEBRATE A COUNT DOWN OF YOUR BOYS AGED 21 FOR THE GREAT THINGS TO COME FOR YOU BOTH ✨ https://t.co/o3j47Hd6hX"
10250,@ASAP_Fergal lockdown has aged you btw
