,content
0,"#SundayMotivation 
#PositiveVibesOnly 
#weekendvibes 
#lifelonglearning 
#StarfishClub 
#JoyTrain 
#GoldenHearts 
#ThinkBIGSundayWithMarsha https://t.co/tlYwhr6yLp"
1,"#weekendvibes 
#lifelonglearning 
#Mindfulness 
#inspiringquotes 
#JoyTrain 
#GoldenHearts 
#StarfishClub 
#ThinkBIGSundayWithMarsha https://t.co/OtpZiCBNf9"
2,"#JakeRothstein with his company #UpsideHom , include #housing with #intergenertional #lifestyle choices!  Check out the #benefits! #gerontology #longevity #socialengagement #lifelonglearning #fitness #walkableneighborhood
https://t.co/CCCBkNW6Zp"
3,"FUPRE ENERGY SOLUTIONS LIMITED (FESL)
https://t.co/TQMHnnPhLc

Bootcamp for children (Ages 7 - 14)

Date: 18th - 21st April 2022

Time: 9 am - 4 pm daily

Venue: Federal University of Petroleum Resources (FUPRE) Effurun, Delta State, Nigeria
#LifeLongLearning
#OutcomeBased https://t.co/26edqoiQnc"
4,"#lifecoaching 
#positivethinking 
#weekendvibes 
#lifelonglearning 
#ThinkBIGSundayWithMarsha https://t.co/Rew4HZCA5A"
5,"If you've been inspired by our art teacher's exhibition in Pearse Museum, #Rathfarnham, then why not join Christine's #art class? Tuesday mornings in An Cosán, #Jobstown, 10-12.30. Email courses@ancosan.ie or call 01 462 8488. €5

#lifelonglearning #empowermentthrougheducation https://t.co/kuyyHK5dOO"
6,"Super relieved to have finished up my Jan Term class!  Learned some great information about digital and social media! Thanks @KevinCurry!
#MSBLinfield #gradschool #lifelonglearning https://t.co/vy9J0wlnQx"
7,"7. You don’t have to throw away your degree because you found another passion. 
You can find a balance between your career, passion, hobby and keep getting better in every area. 

#lifelonglearning #professionaldevelopment #mentorship #careeraspirations #switchingcareers #Passion"
8,"#MachineLearning with @pytorch ✅
#DeepLearning ✅
#MachineLearning @awscloud ✅

Machine Learning with TensorFlow ☑️

... I'll be very busy for the the next 6 months with @TensorFlow 

#50000Chances #UdacityTechScholars @udacity #AI #future #upskilling #LifeLongLearning https://t.co/KJZt7uAXyQ"
9,"#weekendvibes 
#lifelonglearning 
#Mindfulness 
#inspiringquotes 
#JoyTrain 
#StarfishClub 
#GoldenHearts 
#ThinkBIGSundayWithMarsha https://t.co/eXm6momGuM"
10,"Clip 7: #StockMarket #Gambling #Recovery. Learn more at our #AnnualConference on #ProblemGambling!

#NYCPG2022 #PGRC #Prevention #Treatment #LifeLongLearning
https://t.co/fEerPykp80 https://t.co/Lr80ssV0NR"
11,Well I have clicked submit for my @CharteredColl chartered teacher (leadership) final assessment. It has been hard work but I have learnt so much.Fingers crossed that my chartered status comes through in April #lifelonglearning #fantasticCPD
12,"How did a small village on a hill outside London, become one of the most famous places in the world? Originally an old Anglo-Saxon settlement, Wimbledon’s seen its fair share of action 
#wimbledon #tennis #lifelonglearning  @bemirthy
https://t.co/NP23y8p7Qg https://t.co/7MaRCfvZDl"
