,content
0,"Take a look at @AgeUKLS - Working to improve later life for many older people who face common challenges with care, illness, isolation, and finance, especially those who are frail in #Lewisham &amp; #Southwark

See more: https://t.co/82ka2LiWJR

#ActiveAgeing #ReduceIsolation https://t.co/VAlugYxYnG"
1,"Living life to its fullest!
#StopEditingOlderWomen 
#ageproud #ageing #activeageing
@behindthewoman1 @alexrotas https://t.co/hJYmn1mSvY"
2,"Beat the #winterblues

Try to include complex carbohydrates (e.g. bananas, sweet potatoes, apples and beans) in your diet as they increase your brain's production of serotonin, your body's feel good hormone. 

#Moveitorloseit #Ageing #HealthyAgeing #ActiveAgeing #SAD #nutrition https://t.co/2x9Pd5kSsN"
3,#Gerontology #Gerontologie #FitnessImAlter #ActiveAgeing https://t.co/UX0Fw7Rlmt
4,"No matter the age 🎅🏾, 
it is never too late to get off that couch 🛋️

and become physically active in a way that benefits your #health and well-being. 

#ActiveAgeing Festival team wishes you active, happy 2022. 🎉🎇
@EUErasmusPlus https://t.co/by3wkOSo5T"
5,"So true! 🌞

#Moveitorloseit #inspirationalquotes #inspiringquotes #HealthyAgeing #Ageing #ActiveAgeing #HappyAgeing https://t.co/mtIQqYOgeG"
6,"This Holiday season don't forget about the vulnerable groups, including our elderly population 🧓🏾👴.
Call them ☎️,
invite them for a walk in 🌲,
send them a 🎁,
tell them everything about #ActiveAgeing. 

Happy Holidays! ✨
@EuSport https://t.co/XQG1uQxAjV"
7,"Warmest wishes for a happy &amp; #BeActive holiday season.

Call a friend ☎️
Move around 🤸🏾‍♀️
Walk outdoors 🌲
Breathe &amp; meditate 🧘🏾‍♂️
Embrace #ActiveAgeing ✨

#PhysicalActivity #NowWeMove #HappyHolidays https://t.co/EFNeSWKD7L"
8,"Move it or Lose it Advent Calendar 2️⃣4️⃣🎄

Each day of advent, we'll be sharing top tips and health advice! For more information about Move it or Lose it, go to https://t.co/RkBiFTHjoB 

#Moveitorloseit #AdventCalendar #Ageing #HealthyAgeing #ActiveAgeing https://t.co/vi9yf2MTqu"
9,"Are we the only ones? 

#Moveitorloseit #gettingolderquotes #gettingolder #HealthyAgeing #Ageing #ActiveAgeing #HappyAgeing https://t.co/3EcQyR3h8W"
10,"Check out our 10-minute exercise routines on Youtube. 
#BeActive #activeageing #exercise #movement #TaiChi
Here is the 15th episode:
https://t.co/ZpOzDuQXks"
11,"Move it or Lose it Advent Calendar 2️⃣3️⃣ ☕🎄

Each day of advent, we'll be sharing top tips and health advice! To try our cuppa routine, go to https://t.co/NKOs85V4Ik

#Moveitorloseit #AdventCalendar #Ageing #HealthyAgeing #ActiveAgeing #CuppaRoutine https://t.co/Ws9YxmP8kf"
12,"'You need to challenge your muscles if you expect to keep them', or face the threat of frailty and loss of independence. Thanks for the reminder @hjluks
💪🏾💪🏾 #resistanceexercise #balanceexercise #activeageing https://t.co/2aBNYKjf0X"
13,"Europe fails to ensure active &amp; healthy ageing

(AAL Programme; December 1, 2021) 

https://t.co/rx6Kyu5xoi

#Activeageing #POSITIVE https://t.co/qLFTeKZFhZ"
14,"Let's meet Next Year➡️🙌 with new inspiring activities to co-create innovative Smart Healthy Age-Friendly Environments #SHAFE

#EU_SHAFE #AgeFriendly #AgeingWell #SHAFE #ActiveAgeing #HealthyAgeing https://t.co/Oc8ryPnx6c"
