,content
3,@MigrantRightsIr @icos @SIPTU @IrishRefugeeCo @flacireland @PaveePoint @immigrationIRL @LeCheileDND @Black_andirish @LmaRirl @MigrantRightsIr @NascIreland @ICCLtweet @AgeAction @FingalTogether @STAD_Ireland @itmtrav @UpliftIRL @TREOIR @sariireland @NWCI @SligoTraveller Pls share!
5,"'there is a need to move expeditiously towards developing and adopting a coherent, comprehensive
and integrated human rights framework on older persons,..' 
Significant report released by @UNHumanRights 
https://t.co/EuDuUU3VoL

#AgeEquality
#RightsMatter"
6,A place to grow old where you're 'never short of company'  (via @thejournal_ie) https://t.co/PZG7RsdoJL @judesherry @frank_oconnor As part of this age grp I think this is ideal; some of the buildings u show as being derelict cd so easily be redeveloped. @AgeAction @PMVTrust @
8,"Digital First should not mean digital only.

The requirement for a public services card in addition to closing walk in services is a mistake that will disproportionately impact on older people.

@RSAIreland #DigitalInclusion #AgeEquality https://t.co/NemzCaUg6A https://t.co/JKPdfnYzMt"
9,"86,000 people over the age of 75 on acute hospital waiting lists. Now what?

https://t.co/agcZXLnTdj via @TommyMeskill 
#AgeEquality
#RighttoHealth"
10,"People want to age in place - homecare is central to achieving this goal. 
How do we ensure that older people get the care they need where and when they need it?
#AgeEquality
#AgeingInPlace
#RighttoHealth https://t.co/HWTuJyTQPN"
13,"86,000 people over the age of 75 are on hospital waiting lists. Nearly 28,000 are waiting over a year for care. We need a plan to dramatically reduce wait times. Our health services are failing older people. @AgeAction @IMO_IRL @IHCA_IE @sinnfeinireland https://t.co/mM2OJonZIP"
14,Person-centred dementia care: a reality check in two nursing homes in Ireland @AGE_PlatformEU @AgeAction @irishgerontsoc @Trinity_Haus  https://t.co/O8c7Qgc6sV
16,"We are seeing more people take and win cases of discrimination in the workplace on the grounds of age.
#AbolishMandatoryRetirement 
#FairAndFlexiblePensionsForAll
#Stop67 
#AgeEquality https://t.co/cPCu9DZd9M"
28,"@baldoyle55 @ATDIreland @EAPNIreland @_HousingCrisis @SparkIreland @DeskJustice @48NeverCameHome @pana_ie @PaveePoint @_IHREC @AgeFingal @AgeAction @ILMIreland @LeCheileDND Thank you for your continued support, Nessan!"
29,"@baldoyle55 @ATDIreland @EAPNIreland @_HousingCrisis @SparkIreland @ChildRightsIRL @DeskJustice @48NeverCameHome @pana_ie @PaveePoint @_IHREC @AgeFingal @AgeAction @ILMIreland Thanks Nessan that's really kind of you, we appreciate it!"
33,"We would like to thank @MacuHealth and @MedisecIreland both, for generously supporting our ticket sales to benefit @AgeAction 

Watch our short video on why this is important:
https://t.co/obS8lLTBBl

Tickets are available here:
https://t.co/cNrnyjlRRF"
