,index,0,1,columns
0,0,-0.07077735564224867,-0.06943001606513512,abandon
1,1,-0.022484157718118743,0.03248663819393292,access
2,2,-0.05597518600593233,-0.07456289429824278,according
3,3,0.3610399252861119,0.14525033073048949,across
4,4,-0.030054398553293275,0.2872144679662837,act
5,5,6.521135618143839,-0.9247173041688476,active
6,6,-0.06051059899952948,-0.06911711783332804,actually
7,7,-0.07077735564224903,-0.06943001606513612,adjustment
8,8,-0.07130401127894272,-0.05487710788001042,advice
9,9,-0.07047745396268523,-0.05276064349870124,affected
10,10,0.23124226032016137,0.606162912412408,age
11,11,0.13019024462944476,0.4953889023751141,aged
12,12,-0.05534620270624175,-0.05643542711089747,agree
13,13,-0.07077735564224903,-0.06943001606513612,alarmed
14,14,-0.04431395743470598,-0.07916599358310536,already
15,15,0.18267702054292495,0.04335366999124743,also
16,16,-0.05627756241710988,-0.06873693975381832,amazing
17,17,-0.0671521049447067,-0.03913157056283418,ambassador
18,18,-0.07077735564224903,-0.06943001606513612,ambition
19,19,-0.043178073242069265,-0.07907368904711556,american
20,20,-0.04998037195479397,-0.07302164519573118,announce
21,21,-0.07366709658513078,-0.07408667937225397,anyone
22,22,-0.020757426327172392,0.04526870854916602,appointment
23,23,-0.05057321981444463,-0.07373539757420819,arms
24,24,0.00788587344242113,-0.04205811223861725,around
25,25,-0.023544049784472155,-0.04012835024925034,as
26,26,-0.06138293701670504,-0.012777398343337668,associated
27,27,-0.05804662440305433,-0.07253315231350026,association
28,28,-0.07298829559386116,-0.07390097084117192,attend
29,29,-0.037796220705315,-0.07802830980675146,august
30,30,-0.07077735564224903,-0.06943001606513612,austerity
31,31,-0.06804002357853013,-0.06338573286730641,avoid
32,32,-0.05104004812681491,-0.03504679899276887,aware
33,33,0.029137117611461375,0.16736703223099217,back
34,34,-0.07002327224127604,-0.06814453716894478,basic
35,35,-0.07077735564224903,-0.06943001606513612,bear
36,36,-0.05903319022788798,-0.07459419968273158,beautiful
37,37,-0.03975228351049308,-0.04041356494735546,become
